geography,geography_id_name,geography_id,geography_name,geography_key
tract,GEOID,6075011101,Census Tract 111.01,331
tract,GEOID,6075011102,Census Tract 111.02,332
tract,GEOID,6075012001,Census Tract 120.01,333
tract,GEOID,6075012002,Census Tract 120.02,334
tract,GEOID,6075012203,Census Tract 122.03,335
tract,GEOID,6075012204,Census Tract 122.04,336
tract,GEOID,6075012403,Census Tract 124.03,337
tract,GEOID,6075012404,Census Tract 124.04,338
tract,GEOID,6075012405,Census Tract 124.05,339
tract,GEOID,6075012406,Census Tract 124.06,340
tract,GEOID,6075012503,Census Tract 125.03,341
tract,GEOID,6075012504,Census Tract 125.04,342
tract,GEOID,6075012801,Census Tract 128.01,343
tract,GEOID,6075012802,Census Tract 128.02,344
tract,GEOID,6075013001,Census Tract 130.01,345
tract,GEOID,6075013002,Census Tract 130.02,346
tract,GEOID,6075013401,Census Tract 134.01,347
tract,GEOID,6075013402,Census Tract 134.02,348
tract,GEOID,6075015201,Census Tract 152.01,349
tract,GEOID,6075015202,Census Tract 152.02,350
tract,GEOID,6075015401,Census Tract 154.01,351
tract,GEOID,6075015402,Census Tract 154.02,352
tract,GEOID,6075015701,Census Tract 157.01,353
tract,GEOID,6075015702,Census Tract 157.02,354
tract,GEOID,6075016101,Census Tract 161.01,355
tract,GEOID,6075016102,Census Tract 161.02,356
tract,GEOID,6075016601,Census Tract 166.01,357
tract,GEOID,6075016602,Census Tract 166.02,358
tract,GEOID,6075017602,Census Tract 176.02,359
tract,GEOID,6075017603,Census Tract 176.03,360
tract,GEOID,6075017604,Census Tract 176.04,361
tract,GEOID,6075017803,Census Tract 178.03,362
tract,GEOID,6075017804,Census Tract 178.04,363
tract,GEOID,6075017903,Census Tract 179.03,364
tract,GEOID,6075020101,Census Tract 201.01,365
tract,GEOID,6075020102,Census Tract 201.02,366
tract,GEOID,6075020201,Census Tract 202.01,367
tract,GEOID,6075020202,Census Tract 202.02,368
tract,GEOID,6075020601,Census Tract 206.01,369
tract,GEOID,6075020602,Census Tract 206.02,370
tract,GEOID,6075020701,Census Tract 207.01,371
tract,GEOID,6075020702,Census Tract 207.02,372
tract,GEOID,6075020801,Census Tract 208.01,373
tract,GEOID,6075020802,Census Tract 208.02,374
tract,GEOID,6075025501,Census Tract 255.01,375
tract,GEOID,6075025502,Census Tract 255.02,376
tract,GEOID,6075026201,Census Tract 262.01,377
tract,GEOID,6075026202,Census Tract 262.02,378
tract,GEOID,6075031401,Census Tract 314.01,379
tract,GEOID,6075031402,Census Tract 314.02,380
tract,GEOID,6075033001,Census Tract 330.01,381
tract,GEOID,6075033002,Census Tract 330.02,382
tract,GEOID,6075035101,Census Tract 351.01,383
tract,GEOID,6075035102,Census Tract 351.02,384
tract,GEOID,6075045201,Census Tract 452.01,385
tract,GEOID,6075045202,Census Tract 452.02,386
tract,GEOID,6075047903,Census Tract 479.03,387
tract,GEOID,6075047904,Census Tract 479.04,388
tract,GEOID,6075060701,Census Tract 607.01,389
tract,GEOID,6075060702,Census Tract 607.02,390
tract,GEOID,6075060703,Census Tract 607.03,391
tract,GEOID,6075061101,Census Tract 611.01,392
tract,GEOID,6075061102,Census Tract 611.02,393
tract,GEOID,6075061401,Census Tract 614.01,394
tract,GEOID,6075061402,Census Tract 614.02,395
tract,GEOID,6075061501,Census Tract 615.01,396
tract,GEOID,6075061502,Census Tract 615.02,397
tract,GEOID,6075061503,Census Tract 615.03,398
tract,GEOID,6075061504,Census Tract 615.04,399
tract,GEOID,6075061505,Census Tract 615.05,400
tract,GEOID,6075061506,Census Tract 615.06,401
tract,GEOID,6075061507,Census Tract 615.07,402
tract,GEOID,6075061508,Census Tract 615.08,403
tract,GEOID,6075980300,Census Tract 9803,404
tract,GEOID,6075980401,Census Tract 9804.01,405
tract,GEOID,6075980900,Census Tract 9809,406
tract,GEOID,6075990100,Census Tract 9901,407
tract,GEOID,6075990200,Census Tract 9902,408
supervisor districts,,nan,SUPERVISORIAL DISTRICT 1,409
supervisor districts,,nan,SUPERVISORIAL DISTRICT 10,410
supervisor districts,,nan,SUPERVISORIAL DISTRICT 11,411
supervisor districts,,nan,SUPERVISORIAL DISTRICT 2,412
supervisor districts,,nan,SUPERVISORIAL DISTRICT 3,413
supervisor districts,,nan,SUPERVISORIAL DISTRICT 4,414
supervisor districts,,nan,SUPERVISORIAL DISTRICT 5,415
supervisor districts,,nan,SUPERVISORIAL DISTRICT 6,416
supervisor districts,,nan,SUPERVISORIAL DISTRICT 7,417
